statId,as_of_ts,statNm,addr,lat,lng,coord_ok,total_chargers,available_count,observed_count,unobserved_count,availability_ratio_observed,unobserved_rate,has_confirmed_available,status_age_minutes,reliability_grade,observation_age_minutes,observation_grade,reliability_grade_effective,observation_state,is_operating_now,limitYn,access_restricted,name_suggests_residential,recommend_public_default,usage_level,sessions_per_charger,usage_weekday_avg,usage_weekend_avg,usage_charger_type,history_observed,eta_minutes,poi_count_1km,nearest_parking_m,parking_remaining_spaces,parking_total_spaces,parking_occupancy_rate,parking_congestion_status,parking_matched_id,parking_has_realtime,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h,parking_is_mock,parking_source,nearest_incident_m,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm,traffic_is_mock,traffic_source,source_status,schema_version
ME178137,2026-08-08T11:17:46+09:00,군위영천휴게소(하행),대구광역시 군위군 산성면 치산효령로 865-43,36.070161,128.7097063,True,2,2,2,0,1.0,0.0,True,3.0833333333333335,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,,,,,,,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME181302,2026-08-08T11:17:46+09:00,대구지방합동청사,대구광역시 달서구 대곡동 1035,35.8041984,128.5166757,True,1,0,1,0,0.0,0.0,False,4.65,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,219.6,,,,,156-1-000028,False,,,,False,team5_pis,,1560246600,269.9,72.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
ME181303,2026-08-08T11:17:46+09:00,㈜정방,대구광역시 달성군 가창면 가창로607-2,35.767460831,128.6487953,True,1,1,1,0,1.0,0.0,True,6.416666666666667,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,,,,,,,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183050,2026-08-08T11:17:46+09:00,대구보건환경연구원,"대구광역시 수성구 무학로 215, 민원실 앞",35.8296797,128.6320054,True,2,2,2,0,1.0,0.0,True,1.9833333333333334,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,181.4,,,,,155-1-000018,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183053,2026-08-08T11:17:46+09:00,달서구 청소년수련관공영주차장,대구광역시 달서구 상화로 406,35.80795,128.5587594,True,1,1,1,0,1.0,0.0,True,5.816666666666666,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,45.0,,,,,156-2-000039,False,,,,False,team5_pis,,1560102400,162.8,53.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
ME183054,2026-08-08T11:17:46+09:00,구지면사무소,대구광역시 달성군 구지면 창리로 11길 38,35.658658456,128.4134391,True,1,1,1,0,1.0,0.0,True,6.266666666666667,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,317.2,,,,,157-1-000127,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183055,2026-08-08T11:17:46+09:00,수태골 공영주차장,대구광역시 동구 용수동 907-1,35.9923765,128.6810109,True,1,1,1,0,1.0,0.0,True,6.25,NORMAL,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,0,,,,,,,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183056,2026-08-08T11:17:46+09:00,낙동강승전기념관,대구광역시 남구 앞산순환로 574-110,35.827560977,128.58872119,True,1,1,1,0,1.0,0.0,True,3.15,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,2,457.3,42.0,71.0,40.85,여유(점유 50%미만),153-2-000009,True,1.0690449676496991,-2.0,7.0,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
ME183057,2026-08-08T11:17:46+09:00,이곡2동주민센터,대구광역시 달서구 계대동문로 77,35.855634776,128.50107098,True,1,1,1,0,1.0,0.0,True,3.8833333333333333,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,1,75.7,43.0,92.0,53.26,보통(점유 70%미만),156-2-000067,True,1.1248582677159733,1.0,7.0,False,team5_pis,,1560007403,399.0,19.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
ME183058,2026-08-08T11:17:46+09:00,신암5동주민센터,대구광역시 동구 아양로37길 92,35.8897037,128.6326875,True,1,1,1,0,1.0,0.0,True,2.0833333333333335,HIGH,0.0,HIGH,HIGH,FRESH,Y,N,False,False,True,,,,,,False,,2,70.3,,,,,151-1-000009,False,,,,False,team5_pis,,1510008101,309.4,36.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
