collected_at,occ_mean,occ_median,lots,만차(점유 90%초과),보통(점유 70%미만),여유(점유 50%미만),혼잡(점유 90%미만)
2026-07-23 15:26:52,58.71819047619047,60.69,106,20.952380952380953,20.952380952380953,40.0,18.095238095238095
2026-07-24 14:13:22,59.522571428571425,62.96,106,24.761904761904763,18.095238095238095,40.95238095238095,16.19047619047619
2026-07-24 14:14:29,59.51361904761905,62.96,106,24.761904761904763,18.095238095238095,40.95238095238095,16.19047619047619
2026-07-24 14:17:53,59.75866666666666,62.96,106,23.809523809523807,18.095238095238095,40.0,18.095238095238095
2026-07-24 14:20:02,59.800761904761906,62.33,106,23.809523809523807,18.095238095238095,40.0,18.095238095238095
2026-07-24 14:30:03,59.77209523809523,62.96,106,23.809523809523807,19.047619047619047,39.04761904761905,18.095238095238095
2026-07-24 14:38:01,59.59628571428571,62.72,106,23.809523809523807,20.952380952380953,39.04761904761905,16.19047619047619
2026-07-24 14:40:12,59.66628571428571,62.76,106,23.809523809523807,20.0,39.04761904761905,17.142857142857142
2026-07-24 14:50:03,59.379428571428576,62.44,106,23.809523809523807,19.047619047619047,40.0,17.142857142857142
2026-07-24 15:00:03,59.11952380952381,61.52,106,21.904761904761905,20.0,39.04761904761905,19.047619047619047
2026-07-24 15:10:02,58.99304761904762,61.7,106,22.857142857142858,20.952380952380953,38.095238095238095,18.095238095238095
2026-07-24 15:20:02,59.20847619047619,62.96,106,22.857142857142858,20.0,39.04761904761905,18.095238095238095
2026-07-24 15:30:11,58.78885714285714,62.37,106,21.904761904761905,18.095238095238095,40.0,20.0
2026-07-24 15:40:03,58.57923809523809,62.5,106,20.952380952380953,15.238095238095239,41.904761904761905,21.904761904761905
2026-07-24 15:50:02,58.442190476190476,61.7,106,20.952380952380953,16.19047619047619,42.857142857142854,20.0
2026-07-24 16:00:03,58.14990476190476,62.5,106,22.857142857142858,15.238095238095239,41.904761904761905,20.0
2026-07-24 16:10:12,57.50857142857142,60.42,106,20.952380952380953,14.285714285714285,43.80952380952381,20.952380952380953
2026-07-24 16:20:02,56.84142857142857,60.69,106,17.142857142857142,13.333333333333334,43.80952380952381,25.71428571428571
2026-07-24 16:30:12,56.318285714285715,61.33,106,20.0,17.142857142857142,43.80952380952381,19.047619047619047
2026-07-24 16:40:03,56.28295238095238,59.81,106,20.0,13.333333333333334,45.714285714285715,20.952380952380953
2026-07-24 16:50:02,55.82485714285714,56.33,106,19.047619047619047,17.142857142857142,43.80952380952381,20.0
2026-07-24 17:00:11,55.11409523809523,55.72,106,17.142857142857142,16.19047619047619,45.714285714285715,20.952380952380953
2026-07-24 17:10:02,54.093428571428575,55.56,106,14.285714285714285,13.333333333333334,47.61904761904761,24.761904761904763
2026-07-24 17:20:02,53.15819047619047,50.7,106,15.238095238095239,13.333333333333334,49.523809523809526,21.904761904761905
2026-07-24 17:30:12,53.14552380952381,50.0,106,13.333333333333334,11.428571428571429,50.476190476190474,24.761904761904763
2026-07-24 17:40:02,52.63838095238095,51.43,106,13.333333333333334,14.285714285714285,48.57142857142857,23.809523809523807
2026-07-24 17:50:21,52.05952380952381,48.98,106,14.285714285714285,12.380952380952381,50.476190476190474,22.857142857142858
2026-07-24 18:00:11,50.98047619047619,47.17,106,12.380952380952381,14.285714285714285,50.476190476190474,22.857142857142858
2026-07-24 18:10:02,48.54742857142857,45.0,106,12.380952380952381,19.047619047619047,53.333333333333336,15.238095238095239
2026-07-24 18:20:02,46.95352380952381,44.9,106,10.576923076923077,21.153846153846153,53.84615384615385,14.423076923076922
2026-07-24 18:30:02,46.912190476190474,44.78,106,11.538461538461538,19.230769230769234,56.730769230769226,12.5
2026-07-24 18:40:12,47.030857142857144,44.9,106,14.423076923076922,17.307692307692307,57.692307692307686,10.576923076923077
2026-07-24 18:50:12,47.976571428571425,44.71,106,14.423076923076922,13.461538461538462,57.692307692307686,14.423076923076922
2026-07-24 19:00:02,47.73314285714286,44.44,106,15.384615384615385,11.538461538461538,58.65384615384615,14.423076923076922
2026-07-24 19:10:02,47.962095238095245,45.65,106,18.269230769230766,11.538461538461538,59.61538461538461,10.576923076923077
2026-07-24 19:20:11,48.528190476190474,44.44,106,20.192307692307693,7.6923076923076925,59.61538461538461,12.5
2026-07-24 19:30:03,48.43266666666667,44.44,106,18.269230769230766,7.6923076923076925,59.61538461538461,14.423076923076922
2026-07-24 19:40:02,48.31666666666667,43.84,106,18.269230769230766,9.615384615384617,56.730769230769226,15.384615384615385
2026-07-24 19:50:11,48.13466666666667,43.61,106,17.307692307692307,12.5,55.769230769230774,14.423076923076922
2026-07-24 20:00:02,48.09847619047619,41.75,106,17.307692307692307,12.5,55.769230769230774,14.423076923076922
2026-07-24 20:10:02,47.44057142857143,40.58,106,15.384615384615385,10.576923076923077,56.730769230769226,17.307692307692307
2026-07-24 20:20:02,46.99838095238095,39.16,106,16.346153846153847,8.653846153846153,58.65384615384615,16.346153846153847
2026-07-24 20:30:03,46.22514285714286,38.55,106,13.461538461538462,9.615384615384617,59.61538461538461,17.307692307692307
2026-07-24 20:40:12,46.07190476190476,38.25,106,12.5,9.615384615384617,59.61538461538461,18.269230769230766
2026-07-24 20:50:02,45.30952380952381,37.07,106,12.5,8.653846153846153,59.61538461538461,19.230769230769234
2026-07-24 21:00:10,44.800666666666665,37.07,106,12.5,12.5,60.57692307692307,14.423076923076922
2026-07-24 21:10:12,43.562571428571424,35.23,106,8.653846153846153,11.538461538461538,60.57692307692307,19.230769230769234
2026-07-24 21:20:02,43.241523809523805,34.18,106,9.615384615384617,11.538461538461538,61.53846153846154,17.307692307692307
2026-07-24 21:30:03,42.641047619047626,33.97,106,9.615384615384617,11.538461538461538,61.53846153846154,17.307692307692307
2026-07-24 21:40:11,42.129619047619045,33.86,106,9.70873786407767,13.592233009708737,61.165048543689316,15.53398058252427
2026-07-24 21:50:02,41.46980952380952,33.33,106,8.737864077669903,13.592233009708737,62.13592233009708,15.53398058252427
2026-07-24 22:00:02,40.987809523809524,32.84,106,8.653846153846153,13.461538461538462,62.5,15.384615384615385
2026-07-24 22:10:03,40.11857142857143,32.84,106,7.766990291262135,14.563106796116504,64.07766990291263,13.592233009708737
2026-07-24 22:20:02,39.49133333333334,30.99,106,7.766990291262135,12.62135922330097,65.0485436893204,14.563106796116504
2026-07-24 22:30:03,38.827238095238094,30.77,106,7.766990291262135,10.679611650485436,66.99029126213593,14.563106796116504
2026-07-24 22:40:02,38.092,30.77,106,6.796116504854369,13.592233009708737,67.96116504854369,11.650485436893204
2026-07-24 22:50:02,37.633047619047616,29.73,106,5.825242718446602,15.53398058252427,66.99029126213593,11.650485436893204
2026-07-24 23:00:10,37.03371428571428,30.0,106,3.8461538461538463,13.461538461538462,68.26923076923077,14.423076923076922
2026-07-24 23:10:02,36.49580952380953,30.95,106,4.807692307692308,17.307692307692307,68.26923076923077,9.615384615384617
2026-07-24 23:20:03,35.49152380952381,29.33,106,3.8461538461538463,15.384615384615385,71.15384615384616,9.615384615384617
2026-07-24 23:30:11,34.9087619047619,29.33,106,4.807692307692308,13.461538461538462,73.07692307692307,8.653846153846153
2026-07-24 23:40:02,34.42219047619047,28.99,106,3.8461538461538463,12.5,74.03846153846155,9.615384615384617
2026-07-24 23:50:02,34.24066666666667,28.99,106,3.8461538461538463,13.461538461538462,74.03846153846155,8.653846153846153
2026-07-25 00:00:10,33.721714285714285,28.65,106,3.8461538461538463,11.538461538461538,76.92307692307693,7.6923076923076925
2026-07-25 00:10:02,33.07438095238095,27.08,106,3.8461538461538463,11.538461538461538,76.92307692307693,7.6923076923076925
2026-07-25 00:20:10,32.57961904761905,27.08,106,3.8461538461538463,8.653846153846153,80.76923076923077,6.730769230769231
2026-07-25 00:30:03,32.421238095238095,27.08,106,3.8461538461538463,8.653846153846153,80.76923076923077,6.730769230769231
2026-07-25 00:40:12,32.09095238095238,27.08,106,3.8461538461538463,8.653846153846153,80.76923076923077,6.730769230769231
2026-07-25 00:50:02,31.758285714285712,26.32,106,3.8461538461538463,8.653846153846153,81.73076923076923,5.769230769230769
2026-07-25 01:00:03,31.616952380952384,26.32,106,3.8461538461538463,8.653846153846153,80.76923076923077,6.730769230769231
2026-07-25 01:10:02,31.29561904761905,25.37,106,3.8461538461538463,9.615384615384617,80.76923076923077,5.769230769230769
2026-07-25 01:20:10,30.972380952380952,25.37,106,3.8461538461538463,10.576923076923077,80.76923076923077,4.807692307692308
2026-07-25 01:30:02,30.769333333333336,25.37,106,3.8461538461538463,9.615384615384617,81.73076923076923,4.807692307692308
