pkltId,pkltNm,lat,lng,roadNmAddr,lotnoAddr,유료무료,요금수준,일반1시간요금,일반1일요금,결제수단,collected_at
150-1-000104,달성공원로4길 노상무료,35.871525,128.580866,,대구광역시 중구 대신동 166-11,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000105,명덕로35길 노상무료1,35.858985,128.588957,,대구광역시 중구 남산동 597-43,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000106,자동차부속골목(명덕로35길) 노상무료2,35.85976,128.589237,,대구광역시 중구 남산동 595-10,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000107,남산종합사회복지관(보성황실타운 부근) 노상무료,35.859684,128.579456,,대구광역시 중구 남산동 2482-1,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000108,남산4동행정복지센터 부근 노상유료,35.8583,128.57991,,대구광역시 중구 남산동 2268-1,유료,일반주차장,,10000.0,현금+신용카드,2026-08-03 12:10:21
150-1-000109,남산로1길 노상무료,35.859107,128.578115,,대구광역시 중구 남산동 2270-26,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000110,대신센트럴자이 부근(큰장로26안길) 노상무료,35.866134,128.576824,,대구광역시 중구 대신동 1615,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000111,재마루1길 노상무료,35.86398,128.587846,,대구광역시 중구 남산동 241-1,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000112,남산지구대 민원노상무료,35.866019,128.58751,,대구광역시 중구 남산동 282-1,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000113,남산로4길 노상무료,35.857872,128.584831,,대구광역시 중구 남산동 2221-3,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000114,자동차부속골목뒷편(2.28길) 노상무료,35.859268,128.588651,,대구광역시 중구 남산동 756-51,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000116,남산1동행정복지센터 주변 노상무료,35.8590772,128.5900197,,대구광역시 중구 남산동 877-3,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000117,문우관길 노상무료,35.864368,128.590367,,대구광역시 중구 남산동 623-1,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000118,달구벌대로414길 노상무료,35.86556247,128.58973411,,대구광역시 중구 남산동 556,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000119,자동차부속골목뒷편(남산로8길) 노상무료,35.858253,128.587868,,대구광역시 중구 남산동 2115-7,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000120,반월당서한포레스트 남편(중앙대로65길) 노상무료,35.862407,128.590833,,대구광역시 중구 남산동 615-8,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000122,경북여자고등학교 남편(중앙대로58길) 노상무료,35.857196,128.592892,,대구광역시 중구 남산동 2106-12,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000123,경북여자고등학교 동편 (명륜로22길 인근) 노상무료,35.859633,128.594129,,대구광역시 중구 남산동 727-8,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000124,명륜로28길 노상무료,35.858496,128.597718,,대구광역시 중구 대봉동 739-14,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000125,명륜로26길 노상무료,35.858671,128.597169,,대구광역시 중구 대봉동 745-5,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000126,중앙대로68길 노상무료,35.862878,128.594005,,대구광역시 중구 남산동 676-16,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000128,명륜로23길 노상무료,35.86087,128.596027,,대구광역시 중구 대봉동 749,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000129,대백프라자 주변 노상유료,35.855877,128.605813,,대구광역시 중구 대봉동 214-372,유료,일반주차장,,10000.0,현금+신용카드,2026-08-03 12:10:21
150-1-000130,청운맨션 주변 노상무료,35.858665,128.602921,,대구광역시 중구 대봉동 44-10,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000131,봉산새마을금고 부근 노상무료,35.86141,128.598655,,대구광역시 중구 봉산동 220-36,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000132,서성로20길 노상무료,35.874802,128.589443,,대구광역시 중구 수창동 36-3,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000133,서문로교회 동편 노상무료,35.873535,128.588812,,대구광역시 중구 북성로2가 20-8,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000134,오토바이골목 부근(서성로13길인근) 노상무료,35.87202,128.584851,,대구광역시 중구 인교동 216-3,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000135,오토바이골목(국채보상로99길) 노상무료,35.872233,128.582829,,대구광역시 중구 시장북로 157-3,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000137,오토바이골목 부근(서성로15길인근) 노상무료2,35.873003,128.586956,,대구광역시 중구 서야동 145-1,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000138,오토바이골목 부근(서성로15길인근) 노상무료1,35.87319,128.585195,,대구광역시 중구 서야동 64,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000139,오토바이골목 부근 (국채보상로101길인근) 노상무료,35.871154,128.58457,,대구광역시 중구 동산동 10-1,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000140,대구콘서트하우스 서편 노상유료,35.876328,128.592735,,대구광역시 중구 태평로2가 37-5,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000142,신명고주변 노상유료,35.86898,128.586139,,대구광역시 중구 계산동1가 83-9,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000143,달성공원주변 노상유료,35.874082,128.579204,,대구광역시 중구 달성동 294-1,유료,일반주차장,,10000.0,현금+신용카드,2026-08-03 12:10:21
150-1-000144,경대병원 노상유료1,35.866206,128.605989,,대구광역시 중구 삼덕동3가 8-2,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000145,경북의과대학 주변 노상유료,35.867842,128.60632,,대구광역시 중구 동인동2가 236-2,유료,일반주차장,,,현금+신용카드,2026-08-03 12:10:21
150-1-000146,경대병원 노상유료2,35.864746,128.603713,,대구광역시 중구 삼덕동2가 252-1,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000147,대봉1동행정복지센터 주변 노상유료,35.861748,128.604141,,대구광역시 중구 대봉동 19-17,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000148,대봉로 노상유료5,35.862644,128.599985,,대구광역시 중구 대봉동 60-18,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000149,동덕로14길 노상무료,35.860894,128.605097,,대구광역시 중구 대봉동 32-3,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000150,삼덕네거리 남편 노상유료,35.859478,128.604497,대구광역시 중구 동덕로 80,대구광역시 중구 대봉동 43-21,유료,일반주차장,,7000.0,현금+신용카드,2026-08-03 12:10:21
150-1-000151,공평로10길 노상무료,35.867165,128.602569,,대구광역시 중구 삼덕동2가 29-79,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000153,대봉로 노상유료1,35.856132,128.602185,,대구광역시 중구 대봉동 173-33,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000154,대봉로 노상유료3,35.859833,128.600902,,대구광역시 중구 대봉동 88-7,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000155,대봉로 노상유료2,35.858136,128.601519,,대구광역시 중구 대봉동 139-1,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000156,명륜로 노상유료,35.86069,128.602236,,대구광역시 중구 대봉동 55-172,유료,일반주차장,,10000.0,현금+신용카드,2026-08-03 12:10:21
150-1-000157,대봉로 노상유료4,35.862555,128.599874,,대구광역시 중구 봉산동 185-1,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-1-000158,태평로51길 노상무료1,35.873727,128.608791,,대구광역시 중구 동인동3가 396-3,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000159,삼덕동행정복지센터 앞 노상무료,35.865443,128.608852,,대구광역시 중구 삼덕동3가 179-1,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000160,태평로51길 노상무료2,35.872989,128.607775,,대구광역시 중구 동인동3가 271-224,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000161,태평로51길 노상무료3,35.873368,128.606244,,대구광역시 중구 동인동3가 271-145,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000162,태평로51길 노상무료4,35.87273,128.605282,,대구광역시 중구 동인동1가 367-3,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000163,태평로51길 노상유료,35.873565,128.60649,,대구광역시 중구 동인동3가 271-144,유료,일반주차장,,,현금,2026-08-03 12:10:21
150-1-000165,남산그린타운 부근(남산로17길) 노상무료,35.861612,128.578192,,대구광역시 중구 남산동 2635-16,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000166,큰장로12길(달구벌대로387길) 노상무료2,35.865294,128.5747,,대구광역시 중구 대신동 1560,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000167,큰장로12길 노상무료1,35.865762,128.575558,,대구광역시 중구 대신동 1628,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000168,달구벌대로393길 노상무료,35.865809,128.578463,,대구광역시 중구 대신동 302-11,무료,일반주차장,,,,2026-08-03 12:10:21
150-1-000170,산격동 1186-116 소규모 임시 공영주차장,35.89691879,128.60151923,,대구광역시 북구 산격동 1186-116,무료,,,0.0,,2026-08-03 12:10:21
150-1-000171,대명천로(2),35.838174,128.553587,,대구광역시 달서구 성당동 832,유료,,,8000.0,,2026-08-03 12:10:21
150-1-000172,동인동행정복지센터 앞 노상무료,35.86774077,128.60920467,,대구광역시 중구 동인동4가 318-5,무료,,,0.0,,2026-08-03 12:10:21
150-1-000173,대구광역시청 부근 노상무료,35.87163195,128.60192072,,대구광역시 중구 동인동1가 404,무료,,,0.0,,2026-08-03 12:10:21
150-1-000174,교구청 남측 (남산로6안길 부근) 노상무료,35.85878926,128.58572714,,대구광역시 중구 남산동 2210-101,무료,,,0.0,,2026-08-03 12:10:21
150-1-000175,교구청 북동측(자동차부속골목뒷편) 노상무료,35.86218512,128.58890556,,대구광역시 중구 남산동 583-3,무료,,,0.0,,2026-08-03 12:10:21
150-1-000176,경북여자고등학교(담벼락) 노상무료,35.8582244,128.59402101,,대구광역시 중구 남산동 722-1,무료,,,0.0,,2026-08-03 12:10:21
150-1-000177,각산동 1020 공한지주차장,35.89117552,128.70862753,"대구광역시 동구 각산동 1020, 1020-1","대구광역시 동구 각산동 1020, 1020-1",,,,,,2026-08-03 12:10:21
150-2-000001,성내공영주차장,35.859947,128.601826,대구광역시 중구 국채보상로 131길3,대구광역시 중구 동인동2가 6-1,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-2-000002,국채보상운동기념공원 공영주차장,35.868824,128.600292,대구광역시 중구 국채보상로 670,대구광역시 중구 동인동2가 42,유료,일반주차장,,7000.0,현금+신용카드,2026-08-03 12:10:21
150-2-000004,삼덕유료주차장,35.864312,128.60542,,대구광역시 중구 삼덕동2가 228-1,유료,일반주차장,,10000.0,,2026-08-03 12:10:21
150-2-000005,노외(공한지),35.863509,128.604149,,대구광역시 중구 삼덕동2가 293-3,무료,일반주차장,,,현금+카드,2026-08-03 12:10:21
150-2-000006,공한지 무료 주차장(뉴대봉유료주차장),35.859103,128.604644,대구광역시 중구 동덕로 45,대구광역시 중구 대봉동 41-27,무료,일반주차장,,,,2026-08-03 12:10:21
150-2-000008,김광석길 공영주차장,35.859307,128.606405,대구광역시 중구 동덕로8길 34-20,대구광역시 중구 대봉동 6-5,유료,일반주차장,,10000.0,,2026-08-03 12:10:21
150-2-000010,공영주차장,35.858694,128.597147,대구광역시 명륜로26길 27,대구광역시 중구 대봉동 745-4,무료,일반주차장,,,,2026-08-03 12:10:21
150-2-000011,노외(공한지),35.859561,128.600119,,대구광역시 중구 대봉동 88-53,무료,일반주차장,,,,2026-08-03 12:10:21
150-2-000012,대봉2동공영주차장,35.857738,128.601296,,대구광역시 중구 대봉동 762번지,유료,일반주차장,,10000.0,,2026-08-03 12:10:21
150-2-000013,중앙로관광버스 전용주차장,35.87382,128.594843,대구광역시 중구 중앙대로 456-3,대구광역시 중구 화전동 2-5,유료,일반주차장,,10000.0,현금,2026-08-03 12:10:21
150-2-000014,북성공영주차장,35.874779,128.591024,대구광역시 중구 종로 99,대구광역시 중구 수창동 35-1,유료,일반주차장,,10000.0,현금+카드,2026-08-03 12:10:21
150-2-000015,경상감영주차장,35.87271589,128.59275017,대구광역시 중구 경상감영길 99,대구광역시 중구 포정동 21,유료,일반주차장,2880.0,11200.0,현금+신용카드,2026-08-03 12:10:21
150-2-000016,약령시 서편공영주차장,35.86891777,128.58831205,대구광역시 중구 남성로 33,대구광역시 중구 남성로 33,유료,일반주차장,,7000.0,신용카드,2026-08-03 12:10:21
150-2-000017,서문주차빌딩 주차장,35.868909,128.580775,대구광역시 중구 큰장로 26길 45,대구광역시 중구 대신동 115-378,유료,일반주차장,1800.0,,현금+신용카드,2026-08-03 12:10:21
150-2-000018,노외(공한지),35.862815,128.593818,,대구광역시 중구 남산동 677-7,무료,일반주차장,,,현금+카드,2026-08-03 12:10:21
150-2-000019,남산공영주차장,35.858864,128.588923,,대구광역시 중구 명덕로35길 44,유료,일반주차장,,10000.0,,2026-08-03 12:10:21
150-2-000021,노외(공한지),35.85768,128.592308,,대구광역시 중구 남산동 2099-1,무료,일반주차장,,,,2026-08-03 12:10:21
150-2-000022,노외(공한지),35.864393,128.590618,,대구광역시 중구 남산동 628-24,무료,일반주차장,,,,2026-08-03 12:10:21
150-2-000023,노외(공한지),35.863654,128.590975,,대구광역시 중구 남산동 632-4,무료,일반주차장,,,,2026-08-03 12:10:21
150-2-000025,노외(공한지),35.861262,128.582813,,대구광역시 중구 남산동 2446-8,무료,일반주차장,,,,2026-08-03 12:10:21
150-2-000026,남산향수길 공영주차장,35.86317,128.587394,대구광역시 중구 명륜로12길 47,대구광역시 중구 남산동 219,유료,일반주차장,,10000.0,,2026-08-03 12:10:21
150-2-000028,노외(공한지),35.860059,128.57853,,대구광역시 중구 남산동 2624-10,무료,일반주차장,,,,2026-08-03 12:10:21
